book_id,book_title,strategy,canonical_node_id,canonical_source_key,canonical_node_type,canonical_title,canonical_parent_id,canonical_order,coverage_status,linked_current_section_ids,linked_current_count,linked_actions
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:7881c45cd397bf10,7881c45cd397bf10,section,Pressentimentos,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,93,covered,[4253],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:8c6a11686eabd422,8c6a11686eabd422,section,Influência dos Espíritos nos acontecimentos da vida,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,94,covered,[4254],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:b856084697d0c7d4,b856084697d0c7d4,section,Ação dos Espíritos nos fenômenos da Natureza,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,95,covered,[4255],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:dd6b67aa356a5d4e,dd6b67aa356a5d4e,section,Os Espíritos durante os combates,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,96,covered,[4256],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:eae96b244b6271cf,eae96b244b6271cf,section,Pactos,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,97,covered,[4257],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:7f3f9c64792024c6,7f3f9c64792024c6,section,Poder oculto. Talismãs. Feiticeiros,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,98,covered,[4258],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:153f6deaf2dda963,153f6deaf2dda963,section,Bênçãos e maldições,o-livro-dos-espiritos:chapter:5d6fba1a034ccb46,99,covered,[4259],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:e389ef21b03022c2,e389ef21b03022c2,chapter,Das ocupações e missões dos Espíritos,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,100,multiple-current-records,"[4260, 4261]",2,"{""keep"": 1, ""split"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:ed76f876ac44ebbf,ed76f876ac44ebbf,chapter,Dos três reinos,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,101,covered,[4262],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:4921b17feda20172,4921b17feda20172,section,Os minerais e as plantas,o-livro-dos-espiritos:chapter:ed76f876ac44ebbf,102,covered,[4263],1,"{""keep"": 1}"
