book_id,book_title,section_id,sec_position,kind,part_title,chapter_label,chapter_title,section_title,record_title,stored_word_count,calculated_word_count,content_character_count,paragraph_block_count,normalized_content_md5
1,O Livro dos Espíritos,4230,88,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,União da alma e do corpo,União da alma e do corpo,1037,1075,6217,39,05290142f59d11f961402b7559ae123b
1,O Livro dos Espíritos,4231,89,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,Faculdades morais e intelectuais do homem,Faculdades morais e intelectuais do homem,554,568,3559,15,716ebd58575cb6915deb19683516835b
1,O Livro dos Espíritos,4232,90,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,Influência do organismo,Influência do organismo,550,563,3380,14,d5e86a1f35229590880f6108ee68fc86
1,O Livro dos Espíritos,4233,91,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,"Idiotismo, loucura","Idiotismo, loucura",840,863,5102,24,1f718ccbd00437c171c937c403715e18
1,O Livro dos Espíritos,4234,92,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,A infância,A infância,962,981,5885,20,b766f42949afc8df8f44181ea2fce4bf
1,O Livro dos Espíritos,4235,93,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,Simpatia e antipatia terrenas,Simpatia e antipatia terrenas,364,377,2379,14,77dbfea9a4e762e3d8f4dd34512b8ba3
1,O Livro dos Espíritos,4236,94,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VII,Da volta do Espírito à vida corporal,Esquecimento do passado,Esquecimento do passado,1725,1753,10647,29,6dbb2e661d8724abddbf206e57edc392
1,O Livro dos Espíritos,4237,95,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,null,CAPÍTULO VIII — Da emancipação da alma,33,40,235,1,5f1cddbcfb654c01f69a50c5619c02b5
1,O Livro dos Espíritos,4238,96,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,O sono e os sonhos,O sono e os sonhos,1844,1880,11186,37,522bc98cc7b312b9b72abe82b4ca40fa
1,O Livro dos Espíritos,4239,97,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,Visitas espíritas entre pessoas vivas,Visitas espíritas entre pessoas vivas,455,467,2867,13,87652e4fb3bef0dead96e36651a94d72
1,O Livro dos Espíritos,4240,98,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,Transmissão oculta do pensamento,Transmissão oculta do pensamento,231,238,1471,8,b39a43388248ea6db6b58742ce6ede4b
1,O Livro dos Espíritos,4241,99,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,"Letargia, catalepsia, mortes aparentes","Letargia, catalepsia, mortes aparentes",368,376,2188,9,592f54a2b8252eb7f23947f70015a74b
1,O Livro dos Espíritos,4242,100,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,Sonambulismo,Sonambulismo,1199,1229,7355,31,86777c156e4da1028aa8dec8e12d934d
1,O Livro dos Espíritos,4243,101,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,Êxtase,Êxtase,415,430,2611,16,d7d20d393331fbade74fe0c1b56f8ee0
1,O Livro dos Espíritos,4244,102,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,Dupla vista,Dupla vista,532,552,3301,21,93ce3d0a745f1ddcb418b978a7acfcc0
1,O Livro dos Espíritos,4245,103,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO VIII,Da emancipação da alma,"Resumo teórico do sonambulismo, do êxtase e da dupla vista","Resumo teórico do sonambulismo, do êxtase e da dupla vista",1851,1870,11241,20,0f056f37531f80cd6ddd7a498630b0ef
1,O Livro dos Espíritos,4246,104,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,null,CAPÍTULO IX — Da intervenção dos Espíritos no mundo corporal,66,78,498,1,fc4fa54196c597b70e872f604a535860
1,O Livro dos Espíritos,4247,105,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,penetrar os nossos pensamentos,penetrar os nossos pensamentos,137,144,870,8,1af7a169a0ee855556483c323218458f
1,O Livro dos Espíritos,4248,106,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,Influência oculta dos Espíritos em nossos pensamentos e atos,Influência oculta dos Espíritos em nossos pensamentos e atos,988,1021,6166,34,5c618e49bf8b247b678af1b37834f614
1,O Livro dos Espíritos,4249,107,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,Possessos,Possessos,728,744,4357,17,a775a10b7327b8dd3372999ae8c226d2
1,O Livro dos Espíritos,4250,108,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,Convulsionários,Convulsionários,481,489,3099,9,584c3bf87d397545f04fb74de47ece8f
1,O Livro dos Espíritos,4251,109,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,Afeição que os Espíritos votam a certas pessoas,Afeição que os Espíritos votam a certas pessoas,422,436,2640,15,3cd2d9b1a88b7c300e391b8d61bb5742
1,O Livro dos Espíritos,4252,110,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IX,Da intervenção dos Espíritos no mundo corporal,familiares ou simpáticos,familiares ou simpáticos,3220,3309,19833,90,d69546ef72ade9ae26d298d2364a6375
